address,borough,unitsres
27 IRVING PLACE,BK,8
169 LEXINGTON AVENUE,BK,4
1095 BEDFORD AVENUE,BK,8
140 QUINCY STREET,BK,5
134 QUINCY STREET,BK,6
90-20 WHITNEY AVENUE,QN,3
42-10 ELBERTSON STREET,QN,3
41-105 FORLEY STREET,QN,3
106-05 37 AVENUE,QN,5
106-05 37 AVENUE,QN,5
37-47 98 STREET,QN,7
38-08 98 STREET,QN,8
97-17 38 AVENUE,QN,7
37-45 98 STREET,QN,7
85-45 BRITTON AVENUE,QN,3
591 WASHINGTON AVENUE,BK,5
737 BERGEN STREET,BK,8
735 BERGEN STREET,BK,8
916 PACIFIC STREET,BK,4
730 BERGEN STREET,BK,3
920 PACIFIC STREET,BK,8
42-38 FORLEY STREET,QN,3
99-18 CORONA AVENUE,QN,3
104-17 37 DRIVE,QN,4
438 LAFAYETTE AVENUE,BK,3
149 CLIFTON PLACE,BK,4
798 DEAN STREET,BK,3
104-19 37 DRIVE,QN,3
47-20 JUNCTION BOULEVARD,QN,4
45-08 JUNCTION BOULEVARD,QN,4
79-27 153 STREET,QN,3
1185 FULTON STREET,BK,3
1058 BEDFORD AVENUE,BK,6
185 CLIFTON PLACE,BK,8
315 FRANKLIN AVENUE,BK,8
397 GREENE AVENUE,BK,4
102 QUINCY STREET,BK,7
730 FRANKLIN AVENUE,BK,9
175-13 89 AVENUE,QN,3
175-11 89 AVENUE,QN,3
54-19 ROOSEVELT AVENUE,QN,3
37-28 97 STREET,QN,8
37-36 75 STREET,QN,4
74-06 WOODSIDE AVENUE,QN,4
41-40 72 STREET,QN,4
41-46 68 STREET,QN,4
161-54 71 AVENUE,QN,3
34-14 58 STREET,QN,3
65-22 38 AVENUE,QN,7
42-05 66 STREET,QN,8
41-54 71 STREET,QN,6
41-40 71 STREET,QN,4
61-12 39 AVENUE,QN,4
76 JEFFERSON STREET,BK,4
20 JEFFERSON STREET,BK,8
45 TROUTMAN STREET,BK,8
45 MELROSE STREET,BK,7
55-06 98 STREET,QN,6
55-40 97TH PLACE,QN,10
55-09 98 STREET,QN,3
55-04 98 STREET,QN,6
55-13 98 STREET,QN,3
3304 ROMBOUTS AVENUE,BX,3
1559 45 STREET,BK,4
1557 45 STREET,BK,4
46 LEWIS AVENUE,BK,9
442 PULASKI STREET,BK,7
444 PULASKI STREET,BK,7
625 WARREN STREET,BK,4
1547 LELAND AVENUE,BX,10
1602 42 STREET,BK,4
27-21 27 STREET,QN,7
27-59 CRESCENT STREET,QN,7
27-57 CRESCENT STREET,QN,7
1786 MADISON AVENUE,MN,3
1790 MADISON AVENUE,MN,3
13 EAST 117 STREET,MN,3
15 EAST 117 STREET,MN,3
7 EAST 117 STREET,MN,3
8 EAST 118 STREET,MN,3
1447 5 AVENUE,MN,3
12 EAST 118 STREET,MN,3
1794 MADISON AVENUE,MN,3
1796 MADISON AVENUE,MN,3
377 BALTIC STREET,BK,6
1664 AMSTERDAM AVENUE,MN,8
117 EAST 102 STREET,MN,11
1320 58 STREET,BK,3
306 BOND STREET,BK,6
526 LEFFERTS AVENUE,BK,3
486 LEFFERTS AVENUE,BK,9
507 BROOKLYN AVENUE,BK,3
488 LEFFERTS AVENUE,BK,9
718 LEFFERTS AVENUE,BK,3
742 LEFFERTS AVENUE,BK,7
383 12 STREET,BK,8
360 12 STREET,BK,4
372 12 STREET,BK,6
353 13 STREET,BK,4
290 13 STREET,BK,4
303 5 AVENUE,BK,5
305 5 AVENUE,BK,5
21 LINCOLN PLACE,BK,4
205 12TH STREET,BK,36
265 WEST 121 STREET,MN,3
231 WEST 122 STREET,MN,3
227 WEST 122 STREET,MN,3
173 MORNINGSIDE AVENUE,MN,8
49 WEST 127 STREET,MN,3
27-04 ASTORIA BOULEVARD,QN,10
557 6 AVENUE,BK,10
265 15 STREET,BK,3
534 6 AVENUE,BK,4
359 7 STREET,BK,4
112 WEST 128 STREET,MN,3
126 WEST 129 STREET,MN,3
1642 PARK AVENUE,MN,4
56 EAST 118 STREET,MN,3
69 EAST 118 STREET,MN,3
66 EAST 118 STREET,MN,3
65 EAST 117 STREET,MN,3
58 EAST 119 STREET,MN,3
64 EAST 119 STREET,MN,3
73 EAST 118 STREET,MN,3
67 EAST 118 STREET,MN,3
62 EAST 118 STREET,MN,3
63 EAST 117 STREET,MN,3
70 EAST 118 STREET,MN,3
62 EAST 119 STREET,MN,3
1642 MADISON AVENUE,MN,5
265 9 STREET,BK,8
322 12 STREET,BK,4
820 KNICKERBOCKER AVENUE,BK,8
175 PALMETTO STREET,BK,8
356 12 STREET,BK,10
370 12 STREET,BK,6
362 12 STREET,BK,6
378 BRIGHTON 12 STREET,BK,4
2494 AMSTERDAM AVENUE,MN,15
353 6 STREET,BK,4
318 13 STREET,BK,4
175 PAYSON AVENUE,MN,12
88 NAGLE AVENUE,MN,5
84 NAGLE AVENUE,MN,5
1561 52 STREET,BK,3
1527 53 STREET,BK,3
744 LEFFERTS AVENUE,BK,7
1423 45TH STREET,BK,3
1428 45 STREET,BK,3
136 ST MARKS PLACE,BK,9
659 BALTIC STREET,BK,4
1550 43 STREET,BK,3
1477 54 STREET,BK,3
1475 54 STREET,BK,3
1466 53 STREET,BK,3
162 HUNTINGTON STREET,BK,6
461 WEST 147 STREET,MN,3
215 WEST 115 STREET,MN,5
57 COOPER STREET,MN,6
1030 REV JAMES A POLITE A,BX,10
173 KNICKERBOCKER AVENUE,BK,43
1223 BROADWAY,BK,7
10 GOODWIN PLACE,BK,6
1738 HARMAN STREET,QN,7
462 SENECA AVENUE,QN,7
17-28 HIMROD STREET,QN,7
223 WILSON AVENUE,BK,6
149 STANHOPE STREET,BK,8
319 MELROSE STREET,BK,8
311 MELROSE STREET,BK,8
39 WILSON AVENUE,BK,8
46 WILSON AVENUE,BK,4
339 AVENUE P,BK,8
104 CENTRAL AVENUE,BK,8
140 CENTRAL AVENUE,BK,8
46 STOCKHOLM STREET,BK,6
67 STANHOPE STREET,BK,9
65 STANHOPE STREET,BK,4
85 STANHOPE STREET,BK,8
64 STANHOPE STREET,BK,8
54-33 101 STREET,QN,3
101-08 MARTENSE AVENUE,QN,4
55-06 102 STREET,QN,7
55-05 98 STREET,QN,3
55-10 98 STREET,QN,6
55-12 102 STREET,QN,6
167 PROSPECT PARK SW,BK,8
 LEFFERTS PLACE,BK,6
46 LEFFERTS PLACE,BK,8
67-41 73 PLACE,QN,3
40 STERLING PLACE,BK,3
508 WAVERLY AVENUE,BK,6
888 FULTON STREET,BK,8
505 CLINTON AVE,BK,11
94 PROSPECT PLACE,BK,4
26 7 AVENUE,BK,3
69 COOPER STREET,MN,6
1574 60TH STREET,BK,6
75 COOPER STREET,MN,6
67 COOPER STREET,MN,6
59 COOPER STREET,MN,6
73 COOPER STREET,MN,6
45-05 JUNCTION BOULEVARD,QN,3
53 LINCOLN PLACE,BK,4
443 BERGEN STREET,BK,3
1280 PROSPECT AVENUE,BK,6
391 BUTLER STREET,BK,3
679 EAST 3 STREET,BK,5
161 WINTHROP STREET,BK,8
159 WINTHROP STREET,BK,8
954 FTELEY AVENUE,BX,8
955 CROES AVENUE,BX,8
320 LINCOLN ROAD,BK,8
1471 NOSTRAND AVENUE,BK,8
1499 NOSTRAND AVENUE,BK,8
1499A NOSTRAND AVENUE,BK,8
1475 NOSTRAND AVENUE,BK,8
242 HAWTHORNE STREET,BK,7
2807 SNYDER AVENUE,BK,8
2901 SNYDER AVENUE,BK,10
192 HAWTHORNE STREET,BK,8
410 FENIMORE STREET,BK,6
371 LINCOLN ROAD,BK,6
55 VERONICA PLACE,BK,7
51 VERONICA PLACE,BK,7
340 RUTLAND ROAD,BK,7
 RUTLAND ROAD,BK,6
108-36 53 AVENUE,QN,3
110-07 56 AVENUE,QN,7
244 HAWTHORNE STREET,BK,7
110-11 CORONA AVENUE,QN,4
110-07 CORONA AVENUE,QN,6
338 EAST 28 STREET,BK,6
332 EAST 28 STREET,BK,6
289 FENIMORE STREET,BK,7
227 WINTHROP STREET,BK,8
239 HAWTHORNE STREET,BK,9
30 EAST 29 STREET,BK,7
125-09 101 AVE,QN,5
2138 BEDFORD AVENUE,BK,7
2136 BEDFORD AVENUE,BK,7
32-01 112 STREET,QN,4
86 SOUTH 1 STREET,BK,7
485 MYRTLE AVENUE,BK,3
296 EAST 2 STREET,MN,8
131 NORTH 6 STREET,BK,5
20 AVENUE C,MN,8
19 AVENUE C,MN,8
121 WYCKOFF STREET,BK,4
300 BROOME STREET,MN,5
92 WYCKOFF STREET,BK,4
375 BALTIC STREET,BK,6
113 BUTLER STREET,BK,4
123 SOUTH 1 STREET,BK,4
334 BEDFORD AVENUE,BK,8
232 SOUTH 2 STREET,BK,4
32 CLINTON STREET,MN,4
123 CLIFTON PLACE,BK,9
119 CLIFTON PLACE,BK,9
115 CLIFTON PLACE,BK,9
65 ST FELIX STREET,BK,3
6607 11 AVENUE,BK,3
2097 DALY AVENUE,BX,10
22-51 MOTT AVENUE,QN,3
728 ST LAWRENCE AVENUE,BX,8
714 59TH STREET,BK,6
280 ATLANTIC AVENUE,BK,4
253 PACIFIC STREET,BK,3
288 WILLOUGHBY AVENUE,BK,12
49 DUFFIELD STREET,BK,7
187 BRIDGE STREET,BK,6
476 WASHINGTON AVE,BK,16
354 EAST 8 STREET,MN,5
227 EAST 7 STREET,MN,6
253 EAST 7TH STREET,MN,8
331 EAST 8 STREET,MN,5
5-33 51 AVENUE,QN,5
5-12 51 AVENUE,QN,5
5-20 51 AVENUE,QN,3
718 41 STREET,BK,4
714 41 STREET,BK,8
37-40 75 STREET,QN,4
37-38 75 STREET,QN,4
37-47 75 STREET,QN,4
22-53 MOTT AVENUE,QN,3
40-32 74 STREET,QN,4
187-23 HILLSIDE AVENUE,QN,6
260 ROGERS AVENUE,BK,4
295 MONTGOMERY STREET,BK,8
1224 39 STREET,BK,6
1241 43RD STREET,BK,4
3131 WESTCHESTER AVENUE,BX,7
37-45 75 STREET,QN,4
1113 PRESIDENT STREET,BK,3
41-21 77 STREET,QN,4
82-20 BRITTON AVENUE,QN,8
83-15 VIETOR AVENUE,QN,8
1249 42 STREET,BK,5
1251 42 STREET,BK,5
41 STREET,BK,8
1026 41 STREET,BK,4
1052 42 STREET,BK,4
1030 41 STREET,BK,4
1032 41 STREET,BK,4
1180 47 STREET,BK,4
1232 48 STREET,BK,4
1230 48 STREET,BK,4
1206 42 STREET,BK,4
4314 12 AVENUE,BK,4
4312 12 AVENUE,BK,4
5001 11 AVENUE,BK,4
100-14 SPRUCE AVENUE,QN,4
100-20 40 ROAD,QN,7
100-11 40 ROAD,QN,7
100-22 40 ROAD,QN,3
